1981-01,17.68
1981-02,16.39
1981-03,12.98
1981-04,11.79
1981-05,9.10
1981-06,7.61
1981-07,7.27
1981-08,7.42
1981-09,10.20
1981-10,10.45
1981-11,12.08
1981-12,13.82
1982-01,16.08
1982-02,15.10
1982-03,14.00
1982-04,10.31
1982-05,9.48
1982-06,5.82
1982-07,5.19
1982-08,8.03
1982-09,7.67
1982-10,9.72
1982-11,12.02
1982-12,14.10
1983-01,13.50
1983-02,16.36
1983-03,15.05
1983-04,10.93
1983-05,9.98
1983-06,7.35
1983-07,6.61
1983-08,7.82
1983-09,9.45
1983-10,10.72
1983-11,12.86
1983-12,14.46
1984-01,13.90
1984-02,14.56
1984-03,12.40
1984-04,10.70
1984-05,8.33
1984-06,7.65
1984-07,6.50
1984-08,8.16
1984-09,8.79
1984-10,10.97
1984-11,12.56
1984-12,13.31
1985-01,14.13
1985-02,14.48
1985-03,15.34
1985-04,11.19
1985-05,8.92
1985-06,7.38
1985-07,6.44
1985-08,7.21
1985-09,9.05
1985-10,10.51
1985-11,12.42
1985-12,13.68
1986-01,14.36
1986-02,14.32
1986-03,14.54
1986-04,11.77
1986-05,10.23
1986-06,7.43
1986-07,7.15
1986-08,7.87
1986-09,9.17
1986-10,9.88
1986-11,11.80
1986-12,13.72
1987-01,13.45
1987-02,13.78
1987-03,12.90
1987-04,11.45
1987-05,9.36
1987-06,7.98
1987-07,6.46
1987-08,7.54
1987-09,9.42
1987-10,10.21
1987-11,12.40
1987-12,14.13
1988-01,16.19
1988-02,15.10
1988-03,15.03
1988-04,13.38
1988-05,11.10
1988-06,8.33
1988-07,8.16
1988-08,8.56
1988-09,9.89
1988-10,10.79
1988-11,12.23
1988-12,14.75
1989-01,15.48
1989-02,16.50
1989-03,15.05
1989-04,11.91
1989-05,10.12
1989-06,7.10
1989-07,6.33
1989-08,6.94
1989-09,8.70
1989-10,9.98
1989-11,12.15
1989-12,13.19
1990-01,15.31
1990-02,15.43
1990-03,14.91
1990-04,13.28
1990-05,10.36
1990-06,7.92
1990-07,7.81
1990-08,7.94
1990-09,9.13
1990-10,10.96
1990-11,12.63
1990-12,13.92
